processed_m4438_ME11_HV0_test40_SRCoff_170714_023815_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
22148	359	1508	31774	8935	10964	11106	0	397	390	390	1166	30608	30751	42265	1023	19	963	60	872	944	91	19	2	74	4	963	93	963	1767	152	1615	811	152	57182	1071	964	27807	1767	152	104803	0	0	0	0	0
45676	29	0	202824	54779	68053	74042	0	2777	2634	2620	7962	194861	202505	249883	319	1	2	317	1	1	1	1	0	0	1	2	1	2	0	0	0	2	0	260192	1391	966	73510	1767	152	509254	0	0	0	0	0
22338	383	1478	31817	8791	11178	11124	0	409	376	375	1150	30667	30669	42612	1148	33	1091	57	992	1059	99	32	5	72	5	1091	104	1091	1706	199	1507	892	199	292063	2539	2057	95867	3473	351	563628	0	0	0	0	0
45415	27	0	203253	54802	67997	74194	0	2713	2855	2616	8118	195135	202924	250758	329	0	3	326	3	3	0	0	0	0	0	3	0	3	0	0	0	3	0	495382	2869	2060	141302	3473	351	968069	0	0	0	0	0
24669	440	1781	32721	9265	11350	11342	0	431	420	366	1208	31513	31458	44164	1263	36	1210	53	1094	1174	116	36	8	88	5	1210	124	1210	2046	206	1840	1004	206	528166	4132	3270	165982	1423	557	1022452	0	0	0	0	0
45617	19	0	203795	54643	68182	74837	0	2736	2793	2614	8076	195719	203504	251171	291	0	3	288	3	3	0	0	0	0	0	3	0	3	0	0	0	3	0	732037	4423	3273	211616	1423	557	1426896	0	0	0	0	0
24064	406	1772	32270	9023	11224	11323	0	415	374	367	1144	31126	31114	43225	1156	25	1108	48	1017	1083	91	25	5	71	3	1108	96	1108	2045	206	1839	902	206	764353	5580	4381	235692	3468	763	1481267	0	0	0	0	0
45636	30	0	202148	54476	67438	74194	0	2703	2781	2547	7956	194190	201857	249087	291	0	7	284	7	7	0	0	0	0	0	7	0	7	0	0	0	7	0	966555	5871	4388	281344	3468	763	1885719	0	0	0	0	0
23201	360	1585	32367	9017	11211	11399	0	381	402	368	1142	31224	31194	43269	1173	26	1116	57	1017	1090	99	26	6	79	3	1116	105	1116	1820	182	1638	934	182	998978	7044	5504	304555	1192	945	1940091	0	0	0	0	0
45143	31	0	204350	55112	68308	74824	0	2737	2798	2579	8031	196317	204067	252175	283	0	2	281	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	1203401	7327	5506	349713	1192	945	2344534	0	0	0	0	0
