processed_m4563_ME11_HV0_test40_SRCoff_170716_093305_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
27557	819	2969	25165	10343	8000	7377	0	275	262	246	753	24402	3340	74307	21825	531	21778	47	21079	21247	699	531	156	324	88	21778	855	21778	2980	2965	15	18813	2965	27665	21832	21782	27839	2980	2965	104802	0	0	0	0	0
760	4	0	7275	1989	2174	2717	0	187	122	139	444	6831	7253	9043	22	0	16	6	16	16	0	0	0	0	0	16	0	16	0	0	0	16	0	34963	21854	21798	28604	2980	2965	252851	0	0	0	0	0
29380	754	3153	26486	10864	8449	7739	0	301	265	282	811	25665	3361	78548	23125	564	23079	46	22423	22515	656	564	202	294	104	23079	858	23079	3162	3150	12	19929	3150	61461	44979	44877	57987	2046	2019	307224	0	0	0	0	0
751	7	0	7223	1928	2235	2685	0	217	118	119	449	6774	7197	9058	26	0	15	11	14	15	1	0	0	1	0	15	1	15	0	0	0	15	0	68690	45005	44892	58738	2046	2019	455275	0	0	0	0	0
28761	801	3056	26140	10709	8211	7719	0	314	267	290	818	25309	3341	77343	22799	565	22747	52	22067	22182	680	565	212	327	90	22747	892	22747	3066	3047	19	19700	3047	94838	67804	67639	87500	1016	970	509647	0	0	0	0	0
730	4	0	7289	2023	2163	2732	0	196	116	115	426	6863	7260	9045	29	1	14	15	14	14	0	0	0	0	0	14	0	14	0	0	0	14	0	102138	67833	67653	88232	1016	970	657698	0	0	0	0	0
27482	733	3026	25030	10239	8030	7358	0	267	279	256	747	24269	3313	74045	21717	525	21663	54	21012	21138	651	525	182	308	88	21663	833	21663	3037	3024	13	18639	3024	127178	89550	89316	115715	4053	3994	712070	0	0	0	0	0
750	3	0	7378	2074	2232	2706	0	183	124	123	429	6949	7351	9181	27	1	20	7	18	19	2	1	0	1	0	20	2	20	0	0	0	20	0	134572	89577	89336	116466	4053	3994	860110	0	0	0	0	0
29244	781	3175	26449	10727	8457	7813	0	292	260	296	803	25628	3399	78405	23050	564	23010	40	22327	22446	683	564	189	308	103	23010	872	23010	3183	3170	13	19840	3170	161033	112627	112346	145713	3140	3068	914493	0	0	0	0	0
796	7	0	7238	1911	2134	2811	0	187	144	114	444	6794	7210	9035	28	0	20	8	19	20	1	0	0	1	0	20	1	20	0	0	0	20	0	168283	112655	112366	146511	3140	3068	1062531	0	0	0	0	0
30928	834	3348	27898	11435	8819	8249	0	315	281	274	826	27061	3406	82926	24492	598	24432	60	23701	23834	731	598	207	340	98	24432	938	24432	3354	3337	17	21095	3337	196193	137147	136798	177439	2398	2309	1116904	0	0	0	0	0
763	5	0	7268	2009	2157	2710	0	210	141	101	448	6820	7246	9107	22	0	15	7	14	15	1	0	0	1	0	15	1	15	0	0	0	15	0	203474	137169	136813	178203	2398	2309	1264954	0	0	0	0	0
29259	856	3189	26542	10897	8445	7739	0	276	304	291	826	25706	3385	78692	23157	601	23104	53	22367	22503	737	601	209	345	98	23104	946	23104	3197	3185	12	19919	3185	230026	160326	159917	207462	1499	1398	1319327	0	0	0	0	0
753	8	0	7224	2044	2112	2669	0	197	118	139	454	6770	7199	9095	25	0	13	12	12	13	1	0	0	1	0	13	1	13	0	0	0	13	0	237266	160351	159930	208216	1499	1398	1467377	0	0	0	0	0
28370	810	3170	25825	10433	8177	7740	0	292	275	284	809	25006	3336	76409	22489	551	22438	51	21733	21887	705	551	188	342	87	22438	893	22438	3180	3158	22	19280	3158	263103	182840	182368	236587	583	460	1521750	0	0	0	0	0
782	4	0	7143	1941	2140	2700	0	179	124	112	415	6728	7119	8967	24	0	14	10	14	14	0	0	0	0	0	14	0	14	0	0	0	14	0	270255	182864	182382	237370	583	460	1669800	0	0	0	0	0
28984	797	3183	26253	10616	8463	7701	0	301	280	266	798	25440	3395	77712	22858	583	22811	47	22102	22229	709	582	181	308	87	22811	890	22811	3184	3176	8	19635	3176	296529	205722	205193	266355	3767	3636	1724173	0	0	0	0	0
778	1	0	7436	2043	2248	2813	0	167	113	127	405	7031	7414	9310	22	0	13	9	13	13	0	0	0	0	0	13	0	13	0	0	0	13	0	303977	205744	205206	267133	3767	3636	1872223	0	0	0	0	0
30004	796	3209	27130	11030	8561	8018	0	305	290	334	876	26242	3472	80416	23658	584	23595	63	22903	23012	692	583	226	335	83	23595	918	23595	3218	3201	17	20394	3201	331119	229402	228801	297139	2889	2741	1926596	0	0	0	0	0
782	9	0	7134	1971	2092	2682	0	208	130	116	451	6683	7112	8945	22	0	17	5	15	17	2	0	0	2	0	17	2	17	0	0	0	17	0	338261	229424	228818	297922	2889	2741	2074635	0	0	0	0	0
28298	805	3121	25758	10440	8209	7653	0	293	264	289	797	24944	3413	76039	22345	538	22283	62	21592	21745	691	538	186	339	82	22283	877	22283	3127	3112	15	19171	3112	364029	251769	251101	326220	1920	1757	2129019	0	0	0	0	0
789	3	0	7151	2058	2131	2632	0	157	104	125	386	6765	7135	8885	16	0	10	6	10	10	0	0	0	0	0	10	0	10	0	0	0	10	0	371190	251785	251111	327011	1920	1757	2277058	0	0	0	0	0
