processed_m4636_ME21_HV0_test40_SRCoff_170717_202314_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
40418	1970	2503	53992	18008	15045	11211	11917	0	0	0	0	0	19232	136222	34760	1514	34534	226	32768	33022	1766	1512	509	763	279	34534	2275	34534	2517	2479	38	32055	2479	70685	34826	34565	41041	2517	2479	104939	17212	20465	19450	14513	13256
4914	35	0	135236	32985	30925	24902	47133	0	0	0	0	0	134696	168787	540	11	220	320	204	210	16	10	4	10	3	220	20	220	0	0	0	220	0	205961	35366	34785	45958	2517	2479	509379	271	37525	40717	30398	49340
41044	1998	2463	54717	18091	14900	11686	12351	0	0	0	0	0	19389	138290	35328	1570	35075	253	33337	33510	1738	1565	554	727	324	35075	2292	35075	2474	2444	30	32631	2444	260718	70694	69860	87003	895	827	563750	17405	20475	19289	14979	13773
4942	38	0	135256	33137	30916	24911	47024	0	0	0	0	0	134745	168693	511	7	200	311	195	196	5	4	1	2	2	200	6	200	0	0	0	200	0	396021	71205	70060	91948	895	827	968192	260	37828	40829	30373	49182
43700	2082	2686	57113	19276	15821	11951	12430	0	0	0	0	0	19430	145620	37683	1560	37438	245	35610	35878	1828	1560	518	786	314	37438	2346	37438	2701	2654	47	34784	2654	453177	108888	107498	135651	3596	3481	1022576	18546	21822	20417	15408	13874
4844	46	0	135169	33128	30910	24691	47166	0	0	0	0	0	134615	168669	554	5	209	345	194	205	15	4	1	12	1	209	16	209	0	0	0	209	0	588380	109442	107707	140497	3596	3481	1427019	276	37616	40862	30169	49259
41531	2042	2420	54865	18411	15227	11515	11935	0	0	0	0	0	19049	139273	35816	1554	35557	259	33734	34006	1823	1551	502	774	277	35557	2325	35557	2432	2397	35	33160	2397	643288	145258	143264	182028	1932	1782	1481389	17723	20906	19701	14918	13283
4901	45	0	134390	32521	30724	24903	46970	0	0	0	0	0	133830	167790	560	9	228	332	211	221	17	7	1	11	2	228	18	228	0	0	0	228	0	777720	145818	143492	186930	1932	1782	1885842	229	37097	40451	30369	49081
40223	1953	2393	54027	17934	14874	11480	12022	0	0	0	0	0	19460	135868	34567	1454	34338	229	32600	32884	1738	1454	486	770	289	34338	2224	34338	2402	2366	36	31972	2366	831783	180385	177830	227154	238	52	1940215	17237	20321	19212	14760	13404
4914	31	0	135730	33054	30828	24856	47706	0	0	0	0	0	135188	169147	542	7	236	306	228	230	8	6	2	4	3	236	10	236	0	0	0	236	0	967557	180927	178066	232069	238	52	2344658	259	37641	40894	30320	49855
39079	1930	2397	52976	17596	14405	11138	11905	0	0	0	0	0	19287	132607	33689	1441	33451	238	31748	32011	1703	1440	492	755	288	33451	2195	33451	2407	2366	41	31085	2366	1020567	214616	211517	271149	2645	2418	2399029	16603	19885	18728	14302	13263
4868	35	0	134833	32912	30657	24871	47138	0	0	0	0	0	134281	168119	552	6	241	311	231	236	10	5	1	6	1	241	11	241	0	0	0	241	0	1155431	215168	211758	276019	2645	2418	2803481	267	37372	40563	30190	49299
41066	1998	2480	54550	18168	15287	11412	11979	0	0	0	0	0	19223	137927	35327	1480	35092	235	33322	33614	1770	1478	479	771	269	35092	2249	35092	2496	2455	41	32637	2455	1210029	250495	246850	317085	1045	777	2857854	17410	20641	19635	14745	13294
4875	37	0	135371	32748	30746	25071	47496	0	0	0	0	0	134848	168932	523	11	231	292	216	220	15	11	4	8	1	231	19	231	0	0	0	231	0	1345446	251019	247082	321962	1045	777	3262297	267	37396	40622	30460	49633
43340	2082	2637	56900	18936	15760	11924	12611	0	0	0	0	0	19497	144971	37403	1583	37141	262	35288	35561	1853	1580	510	783	304	37141	2363	37141	2652	2607	45	34534	2607	1402386	288423	284224	365303	3697	3384	3316680	18603	21404	20365	15460	14144
1810	8	0	49330	12083	11257	9208	17034	0	0	0	0	0	49131	61645	199	4	87	112	84	83	3	4	2	1	2	87	5	87	0	0	0	87	0	1451768	288622	284311	367116	3697	3384	3464720	103	13786	14949	11209	17828
37993	1869	2270	52051	17104	14356	10947	11706	0	0	0	0	0	19346	129765	32705	1360	32492	213	30843	31133	1649	1359	459	749	264	32492	2108	32492	2276	2234	42	30258	2234	1503866	321327	316803	405111	1877	1522	3519102	16163	19457	18581	14129	13020
1803	19	0	49347	11862	11351	9193	17205	0	0	0	0	0	49147	61776	200	4	82	118	75	78	7	4	0	3	0	82	7	82	0	0	0	82	0	1553257	321527	316885	406915	1877	1522	3667142	109	13556	14924	11217	17970
631	2	0	18238	4493	4184	3410	6246	0	0	0	0	0	18167	22744	71	0	30	41	30	30	0	0	0	0	0	30	0	30	0	0	0	30	0	1571534	321598	316915	407546	1877	1522	3721513	43	5123	5512	4116	6547
1836	15	0	49739	12117	11271	9282	17363	0	0	0	0	0	49537	62221	202	3	78	124	71	75	7	3	2	6	1	78	9	78	0	0	0	78	0	1621317	321800	316993	409385	1877	1522	3869563	97	13761	14882	11360	18157
695	10	0	18112	4485	4089	3266	6359	0	0	0	0	0	18028	22629	84	1	34	50	31	33	3	1	1	3	0	34	4	34	0	0	0	34	0	1639472	321884	317027	410080	1877	1522	3923936	32	5074	5428	4030	6648
1808	24	0	49339	12031	11113	9077	17377	0	0	0	0	0	49140	61581	199	2	68	131	65	66	3	2	1	2	1	68	4	68	0	0	0	68	0	1688848	322083	317095	411888	1877	1522	4071986	104	13713	14707	11106	18158
726	4	0	18214	4446	4131	3269	6446	0	0	0	0	0	18136	22708	78	0	40	38	39	40	1	0	0	1	0	40	1	40	0	0	0	40	0	1707110	322161	317135	412615	1877	1522	4126359	55	5059	5483	3984	6701
1830	15	0	49552	11854	11529	9196	17218	0	0	0	0	0	49353	61694	199	2	89	110	84	87	5	2	0	3	0	89	5	89	0	0	0	89	0	1756700	322360	317224	414447	1877	1522	4274398	109	13548	15152	11246	17998
36059	1777	2178	50280	16641	13863	10411	11300	0	0	0	0	0	19260	123789	31020	1298	30789	231	29203	29492	1586	1297	415	704	250	30789	2001	30789	2187	2150	37	28639	2150	1807022	353381	348013	450509	4064	3672	4328782	15338	18916	17981	13472	12497
1807	14	0	49284	12104	11182	9047	17191	0	0	0	0	0	49115	61286	169	4	69	100	66	65	3	4	1	0	3	69	4	69	0	0	0	69	0	1856359	353551	348082	452317	4064	3672	4476821	80	13793	14745	11021	17923
31632	1567	1832	46009	15007	12419	9657	10722	0	0	0	0	0	18955	110806	27054	1166	26856	198	25462	25694	1394	1162	395	627	219	26856	1789	26856	1845	1807	38	25049	1807	1902412	380605	374938	483949	1813	1383	4531205	13461	17005	16099	12381	11888
1738	11	0	49245	11915	11119	9244	17237	0	0	0	0	0	49030	61484	215	4	88	127	84	84	4	4	1	1	2	88	5	88	0	0	0	88	0	1951697	380820	375026	485689	1813	1383	4679245	95	13555	14767	11281	18049
676	8	0	18312	4389	4332	3336	6357	0	0	0	0	0	18240	22768	72	3	34	38	32	31	2	3	1	0	0	34	3	34	0	0	0	34	0	1970038	380892	375060	486366	1813	1383	4733617	43	5044	5653	4085	6629
1761	9	0	49214	11943	11133	9139	17231	0	0	0	0	0	49008	61815	206	5	85	121	83	81	2	4	3	1	1	85	5	85	0	0	0	85	0	2019295	381098	375145	488129	1813	1383	4881667	109	13587	14841	11055	17999
623	6	0	18160	4326	4322	3269	6358	0	0	0	0	0	18084	22695	76	0	30	46	29	30	1	0	0	1	0	30	1	30	0	0	0	30	0	2037511	381174	375175	488752	1813	1383	4936039	32	4939	5563	4091	6650
1761	16	0	49614	12135	11386	9055	17303	0	0	0	0	0	49436	61883	178	1	74	104	68	73	6	1	0	5	0	74	6	74	0	0	0	74	0	2087163	381352	375249	490514	1813	1383	5084090	102	13793	15152	11106	18100
38042	1800	2227	52089	17079	14459	10820	11815	0	0	0	0	0	19433	129444	32656	1372	32417	239	30840	31047	1577	1370	449	656	241	32417	2026	32417	2244	2188	56	30229	2188	2139289	414009	407667	528557	4057	3571	5138463	16201	19407	18650	14023	13118
1815	13	0	49794	12109	11354	9193	17401	0	0	0	0	0	49572	62274	222	1	92	130	89	91	3	1	1	3	0	92	4	92	0	0	0	92	0	2189114	414231	407759	530374	4057	3571	5286513	100	13743	15003	11199	18183
660	5	0	18026	4334	4130	3399	6261	0	0	0	0	0	17964	22409	62	1	30	32	28	29	2	1	0	1	0	30	2	30	0	0	0	30	0	2207181	414293	407789	531034	4057	3571	5340885	35	4970	5430	4124	6561
1850	12	0	49536	12021	11309	9104	17369	0	0	0	0	0	49323	61650	213	2	88	125	83	86	5	2	1	4	0	88	6	88	0	0	0	88	0	2256754	414506	407877	532884	4057	3571	5488924	109	13701	14978	11149	18133
680	4	0	17961	4340	4077	3322	6310	0	0	0	0	0	17893	22388	68	1	27	41	24	27	3	0	0	3	0	27	3	27	0	0	0	27	0	2274757	414574	407904	533566	4057	3571	5543307	40	4913	5392	4060	6599
1855	19	0	49390	11938	11297	9070	17331	0	0	0	0	0	49189	61748	201	3	101	100	97	98	4	3	2	3	1	101	6	101	0	0	0	101	0	2324188	414775	408005	535423	4057	3571	5691346	112	13636	14877	11153	18164
40636	1989	2460	54369	18181	15021	11450	11980	0	0	0	0	0	19444	136879	34925	1547	34691	234	32915	33147	1776	1544	540	772	268	34691	2316	34691	2469	2432	37	32259	2432	2378594	449700	442696	576060	2430	1907	5745730	17519	20640	19430	14745	13395
1850	10	0	49050	11849	11297	9036	17138	0	0	0	0	0	48850	60979	200	4	84	116	81	80	3	4	3	2	0	84	6	84	0	0	0	84	0	2427687	449900	442780	577910	2430	1907	5893782	102	13550	14846	11089	17916
654	7	0	18098	4318	4091	3315	6485	0	0	0	0	0	18022	22553	76	2	33	43	32	31	1	2	2	1	0	33	3	33	0	0	0	33	0	2445826	449976	442813	578565	2430	1907	5948142	47	4947	5374	3996	6737
1821	14	0	49557	11947	11341	9278	17253	0	0	0	0	0	49368	61773	189	4	70	119	67	66	3	4	2	1	1	70	5	70	0	0	0	70	0	2495419	450165	442883	580386	2430	1907	6096192	78	13641	14959	11270	18051
677	9	0	18191	4370	4171	3349	6398	0	0	0	0	0	18106	22637	85	1	33	52	32	32	1	1	1	1	1	33	2	33	0	0	0	33	0	2513638	450250	442916	581065	2430	1907	6150565	41	4954	5524	4103	6654
1783	11	0	49570	12002	11405	9131	17284	0	0	0	0	0	49368	61876	202	4	84	118	82	80	2	4	2	0	1	84	4	84	0	0	0	84	0	2563246	450452	443000	582851	2430	1907	6298604	81	13662	15003	11126	18089
49306	2309	3064	62085	21011	17293	13155	13268	0	0	0	0	0	19432	161810	42653	1816	42369	284	40302	40553	2067	1816	626	877	321	42369	2693	42369	3080	3031	49	39338	3031	2625377	493105	485369	632158	1414	842	6352988	21386	23775	22428	17040	14785
1811	13	0	49289	12003	11306	9175	17058	0	0	0	0	0	49082	61413	207	3	77	130	73	76	4	1	1	4	0	77	5	77	0	0	0	77	0	2674714	493312	485446	633971	1414	842	6501028	95	13694	14979	11172	17802
611	3	0	18025	4370	4171	3342	6251	0	0	0	0	0	17946	22510	79	1	34	45	34	33	0	1	1	0	1	34	1	34	0	0	0	34	0	2692777	493391	485480	634586	1414	842	6555411	44	4979	5438	4044	6530
1782	13	0	49346	12205	11259	8976	17165	0	0	0	0	0	49148	61551	198	4	79	119	77	75	2	4	3	1	1	79	5	79	0	0	0	79	0	2742161	493589	485559	636369	1414	842	6703449	105	13854	14984	10928	17906
658	8	0	18221	4364	4246	3330	6372	0	0	0	0	0	18149	22701	72	1	36	36	33	35	3	1	1	3	0	36	4	36	0	0	0	36	0	2760418	493661	485595	637030	1414	842	6757824	41	4951	5602	4074	6666
1764	10	0	49534	11958	11510	9061	17279	0	0	0	0	0	49357	61821	177	2	75	102	72	73	3	2	1	2	0	75	4	75	0	0	0	75	0	2809996	493838	485670	638795	1414	842	6905872	98	13629	15156	11109	18034
57719	2729	3415	69769	23885	19645	14913	14449	0	0	0	0	0	19894	185661	49875	2057	49567	308	47145	47513	2422	2054	698	1066	384	49567	3120	49567	3432	3381	51	46186	3381	2879807	543713	535237	696514	750	127	6960291	24751	27025	25273	19340	16282
1839	30	0	49311	11977	11287	9023	17286	0	0	0	0	0	49095	61602	216	2	96	120	90	94	6	2	0	4	0	96	6	96	0	0	0	96	0	2929161	543929	535333	698356	750	127	7108298	117	13653	14756	11091	18042
