processed_m4644_ME11_HV0_test40_SRCoff_170717_211501_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
30549	881	3284	33107	12762	10626	9980	0	441	381	390	1160	31931	9655	87234	23452	589	23389	63	22630	22801	759	588	218	389	107	23389	977	23389	3295	3276	19	20113	3276	41497	23465	23395	31535	3295	3276	104801	0	0	0	0	0
2793	8	0	24330	6727	7251	9173	0	564	441	371	1367	22963	24281	30243	49	1	13	36	12	12	1	1	0	0	0	13	1	13	0	0	0	13	0	65877	23514	23408	34336	3295	3276	252851	0	0	0	0	0
30172	892	3295	32730	12509	10311	10111	0	460	438	374	1211	31502	9581	86168	23149	591	23085	64	22315	22494	770	591	196	375	98	23085	966	23085	3303	3285	18	19800	3285	98650	46663	46493	64511	2502	2465	307224	0	0	0	0	0
2798	5	0	24328	6854	7322	9025	0	551	400	385	1324	23004	24281	30138	47	0	23	24	22	23	1	0	0	1	0	23	1	23	0	0	0	23	0	123019	46710	46516	67312	2502	2465	455274	0	0	0	0	0
28950	782	3133	31716	11991	10122	9746	0	409	398	363	1130	30579	9626	82843	22090	534	22046	44	21363	21512	683	534	180	329	74	22046	863	22046	3139	3125	14	18921	3125	154763	68801	68563	96266	1545	1494	509647	0	0	0	0	0
2762	6	0	24475	6814	7291	9177	0	546	440	433	1411	23064	24436	30372	39	0	11	28	11	11	0	0	0	0	0	11	0	11	0	0	0	11	0	179282	68840	68574	99034	1545	1494	657697	0	0	0	0	0
31725	959	3422	33985	13026	10785	10479	0	427	389	417	1187	32781	9688	90025	24297	605	24238	59	23410	23633	828	605	183	406	100	24238	1011	24238	3434	3409	25	20829	3409	213316	93137	92812	130760	883	807	712070	0	0	0	0	0
2756	1	0	24446	6829	7374	9125	0	546	390	414	1340	23106	24386	30362	60	0	26	34	25	26	1	0	0	1	0	26	1	26	0	0	0	26	0	237794	93197	92838	133519	883	807	860108	0	0	0	0	0
31296	851	3373	33753	12904	10843	10253	0	460	406	405	1221	32522	9757	89084	23996	591	23924	72	23207	23333	717	591	220	346	104	23924	937	23924	3379	3361	18	20563	3361	271595	117193	116762	164819	166	72	914483	0	0	0	0	0
2764	2	0	24473	6926	7438	8978	0	510	433	387	1321	23152	24431	30312	42	0	13	29	13	13	0	0	0	0	0	13	0	13	0	0	0	13	0	296111	117235	116775	167588	166	72	1062531	0	0	0	0	0
30387	882	3317	32951	12452	10605	10106	0	443	383	400	1169	31767	9706	86594	23245	632	23194	51	22435	22562	759	632	238	365	110	23194	997	23194	3321	3309	12	19885	3309	329105	140480	139969	197978	3487	3381	1116904	0	0	0	0	0
2846	5	0	24399	6838	7360	8946	0	573	444	433	1438	22961	24360	30205	39	0	10	29	10	10	0	0	0	0	0	10	0	10	0	0	0	10	0	353543	140519	139979	200829	3487	3381	1264954	0	0	0	0	0
31677	946	3472	33899	12883	10933	10349	0	434	419	413	1215	32668	9642	89771	24257	645	24204	53	23391	23559	813	645	234	402	102	24204	1047	24204	3481	3463	18	20741	3463	387478	164776	164183	232515	2872	2748	1319327	0	0	0	0	0
2766	6	0	24543	6831	7410	9116	0	558	415	424	1391	23152	24510	30623	33	1	11	22	10	10	1	1	0	0	0	11	1	11	0	0	0	11	0	412065	164809	164194	235283	2872	2748	1467377	0	0	0	0	0
30027	854	3235	32707	12383	10391	10117	0	460	403	385	1212	31487	9651	86078	23056	579	22997	59	22256	22418	741	579	187	349	93	22997	928	22997	3240	3230	10	19767	3230	444821	187866	187191	265316	2016	1882	1521749	0	0	0	0	0
2807	5	0	24502	6888	7483	9030	0	544	403	386	1323	23179	24474	30408	28	1	12	16	11	11	1	1	0	0	1	12	1	12	0	0	0	12	0	469360	187894	187203	268129	2016	1882	1669800	0	0	0	0	0
31894	878	3465	34220	13053	10816	10549	0	472	425	394	1235	32969	9778	90509	24442	597	24386	56	23633	23789	753	597	218	374	82	24386	971	24386	3476	3455	21	20931	3455	503607	212336	211589	300031	1396	1241	1724173	0	0	0	0	0
2801	5	0	24470	6799	7289	9157	0	590	416	425	1428	23042	24435	30316	35	0	16	19	13	16	3	0	0	3	0	16	3	16	0	0	0	16	0	528120	212371	211605	302837	1396	1241	1872212	0	0	0	0	0
31320	858	3471	33819	12859	10905	10298	0	439	405	440	1231	32578	9734	89191	24085	576	24025	60	23289	23449	736	576	180	340	94	24025	916	24025	3477	3459	18	20566	3459	561984	236456	235630	334161	777	604	1926595	0	0	0	0	0
2664	4	0	24221	6758	7437	8868	0	539	416	421	1360	22861	24188	30028	33	0	13	20	11	13	2	0	0	2	0	13	2	13	0	0	0	13	0	586258	236489	235643	336829	777	604	2074635	0	0	0	0	0
7983	226	761	14439	4810	4461	4887	0	280	221	195	677	13760	8981	28652	5458	153	5436	22	5247	5283	189	153	42	78	24	5436	231	5436	765	760	5	4676	760	600736	241948	241079	344814	1542	1364	2129019	0	0	0	0	0
2753	4	0	24092	6687	7349	8892	0	571	383	430	1377	22715	24047	29894	45	0	10	35	10	10	0	0	0	0	0	10	0	10	0	0	0	10	0	624876	241993	241089	347571	1542	1364	2277058	0	0	0	0	0
30230	776	3168	32594	12580	10277	10026	0	438	389	379	1156	31428	9526	85612	23068	536	23009	59	22342	22473	667	536	206	337	91	23009	873	23009	3174	3160	14	19849	3160	657509	265061	264098	377802	620	428	2331430	0	0	0	0	0
2769	6	0	24525	6732	7459	9270	0	521	408	379	1297	23228	24489	30419	36	0	9	27	9	9	0	0	0	0	0	9	0	9	0	0	0	9	0	682075	265097	264107	380574	620	428	2479481	0	0	0	0	0
