processed_m4464_ME11_HV0_test40_SRCoff_170714_121522_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
53863	802	1794	150983	44136	45929	55299	0	2821	2578	2461	7756	143209	133857	220869	17126	455	16732	394	16098	16277	634	455	160	339	88	16732	794	16732	1796	1765	31	14967	1765	275648	17444	16740	83627	1796	1765	104801	0	0	0	0	0
237164	255	0	989619	277156	299799	368186	0	20142	17058	16552	53302	936274	987010	1231249	2609	1	81	2528	79	80	2	1	0	1	0	81	2	81	0	0	0	81	0	1265833	20054	16822	320959	1796	1765	509241	0	0	0	0	0
53836	822	1814	150446	43640	46250	54990	0	2878	2451	2503	7736	142691	133341	219964	17105	475	16723	382	16072	16249	651	474	173	350	93	16723	824	16723	1820	1796	24	14927	1796	1416872	37159	33545	374926	3616	3561	563616	0	0	0	0	0
238106	289	0	990182	276924	299815	368550	0	20155	17155	16781	53622	936516	987578	1232392	2604	0	82	2522	80	82	2	0	0	2	0	82	2	82	0	0	0	82	0	2407662	39765	33627	613161	3616	3561	968067	0	0	0	0	0
53752	750	1796	150033	43884	45971	54595	0	2827	2583	2401	7701	142316	132888	219911	17145	407	16750	395	16167	16343	583	407	136	312	77	16750	719	16750	1805	1777	28	14973	1777	2558320	56913	50377	667069	1325	1242	1022440	0	0	0	0	0
238168	276	0	990171	276470	299420	369693	0	20181	17238	16639	53638	936493	987629	1232153	2542	1	66	2476	62	65	4	1	0	3	0	66	4	66	0	0	0	66	0	3549126	59456	50443	905378	1325	1242	1426882	0	0	0	0	0
54831	742	1924	151459	44023	46737	55081	0	2902	2521	2481	7796	143641	133411	223156	18048	409	17670	378	17075	17261	595	409	150	336	74	17670	745	17670	1928	1896	32	15774	1896	3701188	77508	68113	960337	3253	3138	1481256	0	0	0	0	0
238381	287	0	991321	277164	300356	368895	0	20157	17239	16840	53789	937505	988652	1233505	2669	2	79	2590	76	77	3	2	1	2	1	79	4	79	0	0	0	79	0	4693066	80178	68192	1198847	3253	3138	1885707	0	0	0	0	0
53321	743	1752	150134	43698	46149	54488	0	2877	2558	2530	7864	142255	133273	219707	16861	410	16473	388	15879	16063	594	410	152	336	80	16473	746	16473	1753	1722	31	14751	1722	4843827	97042	84665	1252295	910	764	1940079	0	0	0	0	0
238282	301	0	990221	276598	300197	368432	0	20268	17292	16869	54001	936187	987630	1232350	2591	0	86	2505	86	86	0	0	0	0	0	86	0	86	0	0	0	86	0	5834619	99634	84751	1490736	910	764	2344521	0	0	0	0	0
52689	732	1755	149860	43536	46114	54654	0	2904	2448	2415	7678	142169	133329	218519	16531	417	16149	382	15591	15732	558	417	159	300	76	16149	717	16149	1759	1724	35	14425	1724	5985106	116165	100900	1543557	2669	2488	2398905	0	0	0	0	0
238922	270	0	990031	276698	299886	368939	0	20150	17131	16557	53404	936583	987478	1232527	2553	0	85	2468	84	85	1	0	0	1	0	85	1	85	0	0	0	85	0	6975743	118718	100985	1782636	2669	2488	2803346	0	0	0	0	0
53637	726	1809	149719	43164	45922	54928	0	2947	2519	2426	7789	141916	132830	219140	16889	389	16533	356	15947	16144	586	389	130	327	76	16533	716	16533	1810	1781	29	14752	1781	7126070	135610	117518	1836415	383	173	2857718	0	0	0	0	0
238007	312	0	990328	277258	299799	368415	0	20363	17258	16563	53715	936579	987779	1233108	2549	0	72	2477	71	72	1	0	0	1	0	72	1	72	0	0	0	72	0	8116966	138160	117590	2074578	383	173	3262172	0	0	0	0	0
54068	750	1876	150871	43848	46529	54923	0	2883	2509	2425	7738	143122	133416	221851	17455	417	17122	333	16541	16705	581	417	161	325	81	17122	742	17122	1887	1841	46	15281	1841	8268449	155617	134712	2128799	2270	2014	3316544	0	0	0	0	0
239064	308	0	991751	277349	300547	368900	0	20233	17208	16793	53795	937921	989224	1234867	2527	4	101	2426	98	97	3	4	2	1	1	101	5	101	0	0	0	101	0	9260807	158146	134813	2367998	2270	2014	3720986	0	0	0	0	0
52018	733	1727	148941	43412	45631	54190	0	2936	2486	2448	7769	141153	132949	216023	15992	406	15642	350	15062	15236	580	406	137	311	87	15642	717	15642	1732	1700	32	13942	1700	9410355	174140	150455	2420162	4002	3714	3775359	0	0	0	0	0
237598	285	0	991339	277636	300544	368508	0	20050	17369	16611	53581	937723	988707	1234109	2632	0	95	2537	92	95	3	0	0	3	0	95	3	95	0	0	0	95	0	10402312	176774	150550	2657923	4002	3714	4179810	0	0	0	0	0
53220	731	1705	149424	43578	45625	54513	0	2946	2501	2459	7821	141585	132928	217664	16496	402	16134	362	15561	15732	573	402	137	308	73	16134	710	16134	1706	1677	29	14457	1677	10552327	193272	166684	2711274	1612	1295	4234183	0	0	0	0	0
237900	310	0	990109	276557	299798	368789	0	20596	17241	16434	53862	936205	987498	1232351	2611	1	98	2513	94	97	4	1	1	4	0	98	5	98	0	0	0	98	0	11543028	195885	166782	2949342	1612	1295	4638625	0	0	0	0	0
53804	716	1814	150365	44105	45929	54834	0	2833	2515	2385	7649	142701	133204	220070	17161	401	16760	401	16188	16359	572	401	150	321	79	16760	722	16760	1816	1780	36	14980	1780	11693968	213048	183542	3003292	3428	3075	4693010	0	0	0	0	0
238455	286	0	990577	276594	300604	368519	0	20235	17014	16857	53654	936874	987919	1232791	2658	0	87	2571	86	87	1	0	0	1	0	87	1	87	0	0	0	87	0	12685160	215709	183629	3241873	3428	3075	5097450	0	0	0	0	0
53847	744	1792	149957	43421	46184	54693	0	2877	2584	2431	7793	142140	132929	219398	17028	437	16688	340	16082	16251	606	437	159	328	85	16688	765	16688	1796	1760	36	14928	1760	12835695	232738	200317	3295863	1128	739	5151824	0	0	0	0	0
239043	306	0	990533	276361	299992	368887	0	20243	17471	16839	54064	936436	987874	1232496	2659	2	104	2555	96	102	8	2	1	7	1	104	9	104	0	0	0	104	0	13826844	235399	200421	3535042	1128	739	5556264	0	0	0	0	0
53531	717	1775	150287	43611	45586	55402	0	2893	2605	2370	7772	142498	133430	219912	16857	387	16463	394	15890	16076	573	387	148	334	65	16463	721	16463	1777	1738	39	14725	1738	13977755	252257	216884	3588709	2905	2477	5610638	0	0	0	0	0
238183	296	0	991710	278260	299740	369207	0	20190	17159	16695	53608	938062	989153	1234313	2557	0	74	2483	72	74	2	0	0	2	0	74	2	74	0	0	0	74	0	14970033	254815	216958	3827033	2905	2477	6015088	0	0	0	0	0
53733	788	1728	149556	43192	46116	54716	0	2881	2478	2467	7725	141811	132753	218708	16803	461	16444	359	15823	15984	621	460	167	328	109	16444	788	16444	1731	1690	41	14754	1690	15120212	271623	233402	3880905	540	71	6069461	0	0	0	0	0
237906	299	0	990936	278329	299509	368452	0	20115	17254	16657	53556	937337	988288	1232519	2648	1	91	2557	88	90	3	1	0	2	1	91	3	91	0	0	0	91	0	16111709	274275	233493	4118963	540	71	6473914	0	0	0	0	0
53655	737	1759	150318	43487	46070	55136	0	2833	2508	2468	7710	142586	133388	219873	16930	403	16536	394	15945	16133	591	403	144	332	86	16536	735	16536	1763	1730	33	14806	1730	16262573	291207	250029	4172748	2303	1801	6528286	0	0	0	0	0
237972	272	0	988269	277382	299728	366971	0	20074	16747	16653	53066	935168	985638	1230591	2631	0	77	2554	75	77	2	0	0	2	0	77	2	77	0	0	0	77	0	17251397	293840	250106	4410884	2303	1801	6932727	0	0	0	0	0
52766	786	1656	148928	43323	45478	54473	0	2886	2513	2357	7657	141252	132371	217445	16557	420	16144	413	15523	15724	621	420	144	345	79	16144	765	16144	1660	1628	32	14516	1628	17400917	310401	266251	4463786	3963	3429	6987112	0	0	0	0	0
238318	280	0	990049	276474	299825	369004	0	20131	17340	16647	53681	936330	987507	1231381	2542	0	76	2466	75	76	1	0	0	1	0	76	1	76	0	0	0	76	0	18391583	312946	266327	4702241	3963	3429	7391553	0	0	0	0	0
53172	766	1804	149710	43365	46134	54592	0	2823	2558	2499	7772	141913	133041	218333	16669	388	16308	361	15700	15920	608	388	134	354	78	16308	742	16308	1809	1775	34	14533	1775	18541904	329616	282635	4755568	1676	1108	7445926	0	0	0	0	0
