processed_m4597_ME11_HV0_test40_SRCoff_170717_080931_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
20219	315	1333	29175	8118	10121	10224	0	360	391	341	1080	28094	28339	38578	836	25	785	51	701	760	84	25	6	65	3	785	90	785	1731	144	1587	641	144	52668	867	785	25465	1731	144	104813	0	0	0	0	0
41539	24	0	187959	50291	62630	69271	0	2612	2630	2387	7554	180404	187718	231601	241	0	3	238	3	3	0	0	0	0	0	3	0	3	0	0	0	3	0	240732	1108	788	67026	1731	144	509265	0	0	0	0	0
20730	320	1378	29467	8070	10220	10468	0	391	366	342	1086	28380	28618	38998	849	36	793	56	705	757	88	36	12	64	4	793	100	793	1789	141	1648	652	141	270324	1957	1581	87781	3520	285	563638	0	0	0	0	0
41423	30	0	188068	49898	62937	69597	0	2702	2498	2402	7549	180519	187789	231717	279	0	3	276	3	3	0	0	0	0	0	3	0	3	0	0	0	3	0	458517	2236	1584	129226	3520	285	968079	0	0	0	0	0
20167	323	1419	28925	7884	10050	10328	0	377	349	323	1044	27880	28122	38384	803	26	758	45	682	732	76	26	10	60	6	758	86	758	1832	141	1691	617	141	487562	3039	2342	149427	1259	426	1022463	0	0	0	0	0
41381	40	0	188673	50438	63171	69324	0	2654	2539	2412	7535	181138	188416	232664	257	1	2	255	1	1	1	1	0	0	0	2	1	2	0	0	0	2	0	676357	3296	2344	190834	1259	426	1426904	0	0	0	0	0
20826	343	1424	29282	8040	10179	10311	0	403	384	346	1121	28161	28448	38548	834	25	782	52	708	757	74	25	5	54	2	782	79	782	1837	156	1681	626	156	705742	4130	3126	211690	3096	582	1481277	0	0	0	0	0
41644	31	0	188109	50116	63176	69252	0	2625	2548	2282	7391	180718	187810	232039	299	0	4	295	3	4	1	0	0	1	0	4	1	4	0	0	0	4	0	893952	4429	3130	253357	3096	582	1885717	0	0	0	0	0
20903	330	1404	29294	8092	10137	10366	0	393	360	332	1076	28218	28411	38842	883	30	845	38	756	815	89	30	6	65	7	845	95	845	1795	165	1630	680	165	923350	5312	3975	274285	795	747	1940102	0	0	0	0	0
41794	23	0	188996	50390	63450	69690	0	2672	2472	2270	7353	181642	188718	233016	278	0	4	274	3	4	1	0	0	1	0	4	1	4	0	0	0	4	0	1112468	5590	3979	316099	795	747	2344543	0	0	0	0	0
20954	303	1444	29320	8120	10280	10290	0	355	337	299	984	28336	28439	38964	881	29	832	49	756	803	76	29	9	56	4	832	85	832	1854	163	1691	669	163	1141909	6472	4811	337081	2649	910	2398917	0	0	0	0	0
41900	19	0	187655	50082	62895	69142	0	2631	2516	2289	7374	180278	187385	231391	270	0	4	266	4	4	0	0	0	0	0	4	0	4	0	0	0	4	0	1329657	6742	4815	379006	2649	910	2803368	0	0	0	0	0
20886	322	1400	29309	8053	10140	10420	0	344	388	345	1069	28240	28435	39028	874	22	822	52	760	800	62	22	6	46	7	822	68	822	1772	150	1622	672	150	1359083	7616	5637	399916	325	1060	2857741	0	0	0	0	0
41987	22	0	188822	50270	62998	69820	0	2603	2602	2337	7484	181338	188559	233202	263	1	2	261	2	1	0	1	1	0	0	2	1	2	0	0	0	2	0	1548016	7879	5639	441924	325	1060	3262183	0	0	0	0	0
20411	296	1399	29124	8041	10176	10209	0	382	377	325	1070	28054	28328	38515	796	23	744	52	673	721	71	23	7	55	3	744	78	744	1770	154	1616	590	154	1577259	8675	6383	462356	2095	1214	3316567	0	0	0	0	0
41989	21	0	188660	50120	63397	69429	0	2689	2597	2312	7539	181120	188360	233033	300	0	12	288	10	12	2	0	0	2	0	12	2	12	0	0	0	12	0	1766030	8975	6395	504361	2095	1214	3721007	0	0	0	0	0
20084	292	1336	29376	8048	10222	10365	0	376	359	381	1105	28271	28547	38773	829	19	784	45	705	765	79	19	6	66	3	784	85	784	1685	151	1534	633	151	1795513	9805	7179	524465	3780	1365	3775380	0	0	0	0	0
42718	23	0	188664	50448	63008	69582	0	2644	2542	2307	7446	181217	188357	233043	307	0	4	303	3	4	1	0	0	1	0	4	1	4	0	0	0	4	0	1984289	10112	7183	567203	3780	1365	4179822	0	0	0	0	0
20139	294	1348	29249	7878	10156	10511	0	384	375	335	1086	28163	28435	38492	814	24	773	41	697	749	76	24	7	59	6	773	83	773	1694	137	1557	636	137	2013648	10926	7956	587360	1378	1502	4234206	0	0	0	0	0
42393	30	0	188920	50492	63143	69679	0	2644	2552	2276	7420	181498	188671	233003	249	0	2	247	1	2	1	0	0	1	0	2	1	2	0	0	0	2	0	2202656	11175	7958	629779	1378	1502	4638646	0	0	0	0	0
21201	301	1439	29177	8021	10118	10386	0	334	378	328	1030	28147	28313	38513	864	19	817	47	739	798	78	19	8	67	3	817	86	817	1828	157	1671	660	157	2231941	12039	8775	651004	3206	1659	4693031	0	0	0	0	0
42219	22	0	187663	49883	63117	69131	0	2540	2582	2254	7312	180351	187386	231104	277	0	1	276	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	2419729	12318	8776	693241	3206	1659	5097472	0	0	0	0	0
19678	294	1312	29011	7976	9912	10388	0	387	348	346	1073	27938	28253	38001	758	29	712	46	628	683	84	29	3	58	7	712	87	712	1664	133	1531	579	133	2448858	13076	9488	712947	774	1792	5151846	0	0	0	0	0
42350	24	0	188715	50121	63363	69734	0	2598	2471	2306	7308	181406	188450	232187	265	0	3	262	3	3	0	0	0	0	0	3	0	3	0	0	0	3	0	2637691	13342	9491	755323	774	1792	5556287	0	0	0	0	0
20793	310	1454	29673	8189	10215	10569	0	357	359	325	1034	28639	28807	39255	866	22	804	62	734	782	70	22	7	55	2	804	77	804	1827	146	1681	658	146	2667483	14208	10295	776140	2601	1938	5610670	0	0	0	0	0
42360	28	0	187802	49791	63151	69352	0	2627	2557	2221	7348	180454	187520	231426	282	0	5	277	5	5	0	0	0	0	0	5	0	5	0	0	0	5	0	2855389	14491	10300	818528	2601	1938	6015113	0	0	0	0	0
20891	357	1413	29056	8027	10100	10285	0	363	348	293	997	28058	28224	38318	832	31	778	54	687	747	91	31	5	65	6	778	96	778	1790	152	1638	626	152	2884569	15323	11078	839446	295	2090	6069485	0	0	0	0	0
