processed_m4398_ME21_HV0_test40_SRCoff_170713_163735_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
49584	2338	1857	44592	16299	13202	10115	7774	0	0	0	0	0	1107	142094	43485	1897	43172	313	41094	41281	2078	1891	666	853	316	43172	2744	43172	1863	1852	11	41320	1852	44683	43533	43197	49811	1863	1852	104949	20138	18572	17063	13382	9107
1706	22	0	699	175	180	176	197	0	0	0	0	0	329	1816	370	8	233	137	226	225	7	8	5	4	2	233	12	233	0	0	0	233	0	45382	43903	43430	51517	1863	1852	509387	230	206	232	226	215
46507	2236	1846	41847	15165	12371	9530	7332	0	0	0	0	0	1036	133469	40811	1717	40511	300	38498	38796	2013	1715	539	837	283	40511	2552	40511	1855	1839	16	38672	1839	87229	84714	83941	98024	3718	3691	563770	19026	17368	15973	12545	8588
1710	29	0	727	177	211	188	185	0	0	0	0	0	335	1925	392	9	248	144	234	239	14	9	4	9	3	248	18	248	0	0	0	248	0	87956	85106	84189	99734	3718	3691	968212	221	204	250	251	214
43874	2127	1626	39398	14121	11904	8975	6913	0	0	0	0	0	944	125452	38454	1680	38191	263	36308	36516	1883	1675	544	752	292	38191	2427	38191	1635	1623	12	36568	1623	127354	123560	122380	143608	1257	1218	1022585	17980	16201	15204	11838	8105
1743	33	0	720	215	193	164	172	0	0	0	0	0	328	1885	392	8	250	142	236	244	14	6	4	12	1	250	18	250	0	0	0	250	0	128075	123953	122631	145353	1257	1218	1427026	233	238	251	223	190
42746	2072	1658	38407	13945	11585	8533	6713	0	0	0	0	0	935	122475	37472	1698	37197	275	35340	35504	1857	1693	559	723	281	37197	2416	37197	1664	1650	14	35547	1650	166482	161425	159828	188101	2921	2868	1481411	17555	15933	14838	11335	7889
1772	48	0	706	196	187	181	164	0	0	0	0	0	344	1866	362	7	237	125	222	231	15	6	3	12	2	237	18	237	0	0	0	237	0	167188	161787	160065	189873	2921	2868	1885852	243	221	232	230	193
43747	2022	1661	39443	14168	11850	8989	6979	0	0	0	0	0	1007	125729	38436	1695	38156	280	36329	36463	1827	1693	623	757	263	38156	2450	38156	1670	1652	18	36504	1652	206631	200223	198221	233620	495	424	1940224	17863	16220	15206	11912	8162
1746	35	0	684	189	183	161	184	0	0	0	0	0	307	1788	377	10	238	139	222	228	16	10	4	10	3	238	20	238	0	0	0	238	0	207315	200600	198459	235367	495	424	2344669	230	215	236	210	203
