processed_m4425_ME21_HV0_test40_SRCoff_170713_231904_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
34352	965	1386	74223	18721	18792	15081	22245	0	0	0	0	0	71890	98752	2333	64	2141	192	1840	2077	301	64	12	249	7	2141	313	2141	1912	99	1813	2042	99	133464	2444	2141	37001	1912	99	104801	8061	21701	24610	18586	23669
7601	16	0	175227	42509	42972	34355	56475	0	0	0	0	0	174843	217119	384	0	6	378	5	6	1	0	0	1	0	6	1	6	0	0	0	6	0	308835	2828	2147	44605	1912	99	252851	98	49119	56424	42196	59447
33832	955	1306	74445	18911	18754	14970	22412	0	0	0	0	0	72115	98774	2330	72	2122	208	1839	2050	283	72	11	222	13	2122	294	2122	1808	80	1728	2042	80	383433	5158	4269	78447	3720	179	307224	7967	21924	24713	18501	23858
7851	14	0	175353	42730	42971	34398	56326	0	0	0	0	0	175012	216641	341	0	9	332	8	9	1	0	0	1	0	9	1	9	0	0	0	9	0	558931	5499	4278	86307	3720	179	455275	94	49378	56458	42353	59289
33399	931	1327	74004	18808	18823	14696	22279	0	0	0	0	0	71691	98099	2313	81	2119	194	1841	2038	278	81	14	211	14	2119	292	2119	1775	85	1690	2034	85	633078	7812	6397	119715	1399	264	509647	7869	21777	24779	18203	23684
7711	14	0	175982	42374	42863	34588	57165	0	0	0	0	0	175632	217941	350	0	8	342	8	8	0	0	0	0	0	8	0	8	0	0	0	8	0	809193	8162	6405	127433	1399	264	657685	108	49011	56350	42425	60072
33951	1020	1379	74226	18968	18776	14777	22320	0	0	0	0	0	71824	98852	2402	93	2209	193	1885	2116	324	93	17	248	22	2209	341	2209	1911	126	1785	2083	126	883562	10566	8614	161400	3310	390	712061	8037	21938	24658	18357	23745
7790	11	0	175028	42275	42864	34434	56520	0	0	0	0	0	174680	216649	348	0	7	341	7	7	0	0	0	0	0	7	0	7	0	0	0	7	0	1058738	10914	8621	169196	3310	390	860108	117	48926	56229	42344	59566
34396	976	1344	74515	18854	18879	14903	22541	0	0	0	0	0	72122	99312	2393	78	2194	199	1891	2116	303	78	13	238	13	2194	316	2194	1858	88	1770	2106	88	1133394	13307	10815	203602	1072	478	914482	8105	21903	24736	18458	23953
7718	14	0	175752	42794	43133	34204	56687	0	0	0	0	0	175381	217435	371	1	10	361	6	9	4	1	0	3	1	10	4	10	0	0	0	10	0	1309313	13678	10825	211330	1072	478	1062531	124	49512	56573	42139	59585
36415	1064	1493	75264	19057	19086	15219	22527	0	0	0	0	0	72869	100281	2395	97	2205	190	1898	2108	307	97	22	232	14	2205	329	2205	2024	105	1919	2100	105	1384720	16073	13030	247752	3096	583	1116906	8421	22177	25181	18710	23982
7696	12	0	175855	42876	43146	34257	56586	0	0	0	0	0	175494	217601	361	1	2	359	1	1	1	1	0	0	0	2	1	2	0	0	0	2	0	1560728	16436	13032	255453	3096	583	1264954	116	49583	56566	42135	59493
32928	913	1340	74194	18817	18777	14968	22286	0	0	0	0	0	71909	98387	2285	73	2113	172	1822	2040	291	73	8	226	10	2113	299	2113	1791	94	1697	2019	94	1635038	18721	15145	288387	791	677	1319327	7720	21773	24661	18498	23669
7670	14	0	175413	42752	42789	34379	56491	0	0	0	0	0	175043	216994	370	0	6	364	6	6	0	0	0	0	0	6	0	6	0	0	0	6	0	1810590	19093	15151	296064	791	677	1467377	116	49368	56334	42267	59454
35689	973	1453	74846	19060	18976	15042	22418	0	0	0	0	0	72385	99813	2461	87	2249	212	1961	2162	288	87	19	220	14	2249	307	2249	1934	88	1846	2161	88	1885566	21554	17400	331758	2725	765	1521750	8454	22113	24798	18551	23885
7756	16	0	175332	42862	42588	34539	56339	0	0	0	0	0	175012	216678	320	0	2	318	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	2061062	21874	17402	339523	2725	765	1669789	104	49499	56124	42531	59379
34533	905	1376	74608	19106	18947	14876	22311	0	0	0	0	0	72295	99193	2313	83	2123	190	1832	2040	291	83	20	228	12	2123	311	2123	1913	103	1810	2020	103	2135825	24187	19525	374065	542	868	1724173	8158	22106	24771	18332	23734
7710	9	0	175975	43059	42814	34464	56688	0	0	0	0	0	175629	217597	346	0	7	339	7	7	0	0	0	0	0	7	0	7	0	0	0	7	0	2311943	24533	19532	381782	542	868	1872212	100	49700	56197	42488	59790
33578	965	1355	74602	19097	19009	14750	22364	0	0	0	0	0	72303	99026	2299	72	2113	186	1844	2041	269	72	8	205	13	2113	277	2113	1855	104	1751	2009	104	2386703	26832	21645	415365	2397	972	1926585	7948	22109	25043	18268	23790
7650	11	0	175930	42658	42837	34389	57056	0	0	0	0	0	175542	218083	388	0	8	380	7	8	1	0	0	1	0	8	1	8	0	0	0	8	0	2562782	27220	21653	423019	2397	972	2074635	111	49164	56492	42464	59990
33371	929	1405	74424	18952	19043	14832	22174	0	0	0	0	0	72202	98498	2222	84	2047	175	1772	1963	275	84	10	201	14	2047	285	2047	1862	92	1770	1955	92	2637341	29443	23700	456396	163	1064	2129008	7909	21961	24835	18309	23536
7800	10	0	175727	42864	42699	34637	56566	0	0	0	0	0	175349	217438	378	0	4	374	4	4	0	0	0	0	0	4	0	4	0	0	0	4	0	2813200	29822	23704	464201	163	1064	2277058	106	49468	56347	42567	59512
34727	981	1345	74645	18960	19005	14937	22366	0	0	0	0	0	72183	99770	2462	82	2265	197	1950	2183	315	82	15	248	11	2265	330	2265	1886	99	1787	2166	99	2887979	32284	25969	498931	2049	1163	2331430	8212	21973	24802	18496	23788
7714	12	0	176224	43225	43022	34357	56664	0	0	0	0	0	175860	218098	364	0	8	356	8	8	0	0	0	0	0	8	0	8	0	0	0	8	0	3064363	32650	25977	506651	2049	1163	2479481	97	49908	56514	42269	59649
36423	1011	1446	75460	19076	19368	15100	22504	0	0	0	0	0	72924	101157	2536	83	2331	205	1997	2248	334	83	14	265	14	2331	348	2331	1988	110	1878	2221	110	3139966	35187	28308	543078	4037	1273	2533854	8713	22185	25394	18631	23934
7758	11	0	176086	42994	42937	34575	56561	0	0	0	0	0	175664	218165	422	0	5	417	5	5	0	0	0	0	0	5	0	5	0	0	0	5	0	3316198	35610	28313	550839	4037	1273	2681893	94	49637	56418	42370	59533
34460	966	1360	74650	18977	19004	14884	22461	0	0	0	0	0	72312	99372	2338	70	2154	184	1830	2084	324	70	12	266	18	2154	336	2154	1854	101	1753	2053	101	3390977	37948	30467	585303	1795	1374	2736276	8113	22037	24888	18339	23906
7715	14	0	175590	42489	42819	34513	56827	0	0	0	0	0	175245	217821	345	0	5	340	4	5	1	0	0	1	0	5	1	5	0	0	0	5	0	3566708	38293	30472	593025	1795	1374	2884316	115	49125	56174	42401	59818
35483	1022	1454	74940	18945	18937	15191	22453	0	0	0	0	0	72597	99996	2343	88	2151	192	1865	2063	286	88	17	215	12	2151	303	2151	2012	97	1915	2054	97	3641799	40638	32623	628516	3807	1471	2938699	8428	21984	24780	18821	23926
7851	16	0	175279	42883	42820	34331	56308	0	0	0	0	0	174934	216989	345	0	8	337	8	8	0	0	0	0	0	8	0	8	0	0	0	8	0	3817223	40983	32631	636378	3807	1471	3086737	109	49524	56399	42181	59270
34068	977	1349	74245	18856	19033	14794	22213	0	0	0	0	0	71893	98628	2352	73	2167	185	1861	2094	306	73	22	255	15	2167	328	2167	1869	82	1787	2085	82	3891603	43335	34798	670454	1580	1553	3141110	8106	21918	24763	18387	23595
7838	11	0	175482	42494	43151	34307	56597	0	0	0	0	0	175137	217138	345	0	12	333	12	12	0	0	0	0	0	12	0	12	0	0	0	12	0	4067237	43680	34810	678300	1580	1553	3289162	117	49273	56607	42097	59545
32586	960	1336	74009	18818	18770	14755	22252	0	0	0	0	0	71729	98254	2280	83	2090	190	1792	2007	298	83	18	233	13	2090	316	2090	1856	104	1752	1986	104	4141379	45960	36900	710897	3436	1657	3343535	7730	21820	24594	18132	23693
7732	14	0	175390	42786	43021	34377	56251	0	0	0	0	0	175056	217165	334	0	9	325	8	9	1	0	0	1	0	9	1	9	0	0	0	9	0	4316910	46294	36909	718635	3436	1657	3491583	117	49462	56460	42367	59302
35329	1033	1389	74621	19116	18928	14840	22334	0	0	0	0	0	72187	99326	2434	81	2246	188	1918	2165	328	81	10	257	12	2246	338	2246	1920	105	1815	2141	105	4391690	48728	39155	753971	1260	1762	3545956	8312	22074	24753	18314	23748
7790	12	0	175914	42873	43080	34474	56568	0	0	0	0	0	175546	217447	368	0	10	358	10	10	0	0	0	0	0	10	0	10	0	0	0	10	0	4567747	49099	39165	761767	1260	1762	3694007	96	49519	56560	42356	59646
37122	1069	1403	75653	19306	19229	15062	22709	0	0	0	0	0	73083	101494	2570	105	2372	198	2033	2267	339	105	20	254	23	2372	359	2372	1966	141	1825	2231	141	4643539	51669	41537	798896	3226	1903	3748379	8824	22388	25203	18634	24218
7826	12	0	175695	43157	42972	34510	56076	0	0	0	0	0	175352	217498	343	0	9	334	6	9	3	0	0	3	0	9	3	9	0	0	0	9	0	4819398	52012	41546	806730	3226	1903	3896418	126	49714	56481	42392	59127
