processed_m4658_ME21_HV0_test40_SRCoff_170718_083239_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
59556	1770	3207	178108	45304	45243	35841	53279	0	0	0	0	0	172279	237193	5829	166	5278	551	4690	5112	588	166	36	458	34	5278	624	5278	3586	287	3299	4991	287	322724	6204	5281	67802	3586	287	104939	17555	52431	59074	44016	56565
28549	31	0	504444	123826	123984	99099	160803	0	0	0	0	0	503067	628057	1377	0	14	1363	13	14	1	0	0	1	0	14	1	14	0	0	0	14	0	827983	7582	5295	96392	3586	287	280001	486	143100	162346	121672	169228
60605	1820	3345	177515	45260	45335	35177	53319	0	0	0	0	0	171598	236908	5917	188	5375	542	4755	5188	620	187	34	467	32	5375	654	5375	3742	330	3412	5045	330	1005853	13500	10670	157027	3232	617	334373	17925	52447	58935	43601	56612
23912	31	1	427139	104092	105325	84431	135935	0	0	0	0	0	425970	531377	1169	0	13	1156	12	13	1	0	0	1	0	13	1	13	1	0	1	13	0	1433353	14669	10683	180968	3233	617	482388	434	120220	137888	103596	142967
57406	1717	3196	176129	44922	44838	35188	52650	0	0	0	0	0	170446	234138	5683	167	5153	530	4581	4986	572	167	35	440	27	5153	607	5153	3591	322	3269	4831	322	1609848	20352	15836	238399	2728	939	536773	16961	51945	58548	43496	55864
28647	32	0	503278	123142	123711	99156	160618	0	0	0	0	0	501934	625896	1344	0	18	1326	18	18	0	0	0	0	0	18	0	18	0	0	0	18	0	2113466	21696	15854	267067	2728	939	711802	489	142134	161818	121673	168806
56858	1740	3021	176046	44844	44752	35098	52956	0	0	0	0	0	170565	234249	5481	121	4985	496	4445	4864	540	121	21	440	34	4985	561	4985	3387	299	3088	4686	299	2289863	27179	20839	323944	2020	1238	766174	16761	51721	58395	43283	56153
24067	33	0	425616	103507	104827	83837	136072	0	0	0	0	0	424481	529452	1135	1	8	1127	7	7	1	1	0	0	0	8	1	8	0	0	0	8	0	2715823	28314	20847	348030	2020	1238	914224	439	119437	137099	102989	143040
56951	1696	3009	176066	45016	44496	35508	52584	0	0	0	0	0	170623	234089	5443	157	4910	533	4331	4753	579	157	37	459	30	4910	616	4910	3408	291	3117	4619	291	2892249	33758	25757	404995	1332	1529	968624	16689	51833	58343	43826	55941
28569	42	0	503770	123460	123742	99292	160594	0	0	0	0	0	502380	626657	1390	0	11	1379	10	11	1	0	0	1	0	11	1	11	0	0	0	11	0	3396351	35148	25768	433586	1332	1529	1143637	524	142256	162189	122028	168816
